keyword,category,region,source,trend_type,search_volume,weekly_growth,monthly_growth,yearly_growth,curator_priority,curator_note,seasonality_hint,commercial_intent_hint,product_potential_hint,reference_potential_hint
quiet luxury outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,high,evergreen high-intent commercial term,year_round,high,high,high
capsule wardrobe basics,fashion,US,manual_bootstrap,evergreen,,,,,high,evergreen pillar topic,year_round,high,high,high
minimalist outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,high,,year_round,high,high,high
coquette aesthetic outfit,fashion,US,manual_bootstrap,growing,,,,,high,trending aesthetic strong product tie-in,year_round,high,high,high
job interview outfit,fashion,US,manual_bootstrap,evergreen,,,,,high,high purchase intent,year_round,high,high,medium
leather jacket outfit,fashion,US,manual_bootstrap,evergreen,,,,,high,,fall,high,high,medium
fall layering outfit,fashion,US,manual_bootstrap,seasonal,,,,,high,seasonal spike,fall,high,high,high
graduation outfit ideas,fashion,US,manual_bootstrap,seasonal,,,,,high,seasonal purchase moment,spring,high,high,medium
oversized blazer outfit,fashion,US,manual_bootstrap,evergreen,,,,,medium,,fall,high,high,medium
linen summer outfit,fashion,US,manual_bootstrap,seasonal,,,,,medium,seasonal lift,summer,high,high,medium
old money aesthetic outfit,fashion,US,manual_bootstrap,growing,,,,,medium,,year_round,high,medium,high
business casual outfit men,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
smart casual outfit men,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
trench coat outfit,fashion,US,manual_bootstrap,seasonal,,,,,medium,,fall,high,high,medium
neutral color outfit,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,medium,high,medium
winter coat outfit ideas,fashion,US,manual_bootstrap,seasonal,,,,,medium,,winter,high,high,medium
athleisure outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
y2k outfit ideas,fashion,US,manual_bootstrap,growing,,,,,medium,,year_round,medium,high,high
preppy outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
korean fashion outfit,fashion,US,manual_bootstrap,growing,,,,,medium,,year_round,high,high,high
travel outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
airport outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
fall boots outfit,fashion,US,manual_bootstrap,seasonal,,,,,medium,,fall,high,high,medium
white sneakers outfit,fashion,US,manual_bootstrap,evergreen,,,,,medium,,year_round,high,high,medium
streetwear outfit men,fashion,US,manual_bootstrap,evergreen,,,,,low,,year_round,medium,medium,medium
monochrome outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,low,,year_round,medium,medium,medium
denim on denim outfit,fashion,US,manual_bootstrap,evergreen,,,,,low,,year_round,medium,medium,medium
cottagecore dress outfit,fashion,US,manual_bootstrap,seasonal,,,,,low,,spring,medium,high,high
festival outfit ideas,fashion,US,manual_bootstrap,seasonal,,,,,low,seasonal only,summer,high,high,high
summer linen shirt outfit,fashion,US,manual_bootstrap,seasonal,,,,,low,,summer,medium,medium,low
brunch outfit ideas,fashion,US,manual_bootstrap,evergreen,,,,,low,,year_round,medium,medium,low
