post_number,username,name,created_at,content,reply_to_post_number,like_count,post_url
1,PinterestHaley,PinterestHaley,2026-05-14T14:15:33.649Z,"Stocksy-28499981920×1280 602 KB

Hey Pinterest Developer Community,

We wanted to reach out to acknowledge that we are aware of current delays in the app approval process, and we sincerely apologize for any disruption this may be causing to your development timelines.

Our team is actively working to resolve the backlog and get things moving as quickly as possible. We understand how important timely access is to building and launching your integrations, and we take that seriously.

In the meantime, if you have an urgent need, please don’t hesitate to submit a support ticket and flag it as high priority. Our support team will do their best to triage urgent cases as quickly as possible.

If you leave a comment or a post, please do not include your App ID or email address for privacy purposes — you may include them in your ticket as those are private to our support team!

Submit a support ticket: https://help.pinterest.com/en/contact

We appreciate your patience and continued partnership with Pinterest. We’ll share further updates as the situation progresses.

Thank you, The Pinterest API Support Team",,11,https://community.pinterest.biz/t/update-developer-app-approvals/45527/1
3,manojshakya78605,Manojshakya78605,2026-05-23T09:53:33.616Z,"I need Standard access to publish organic pins via n8n workflow (using image_url to my verified website).

Please approve the transition from Trial to Standard access.

Thank you!",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/3
4,holisticsouljourney,Holisticsouljourney,2026-05-25T08:02:11.065Z,"Dear Support,

I have also recently submitted my Standard Access application and was wondering if @PinterestHaley could take a look at my request.

Looking forward to using the API

Many thanks!

Kind Regards

MouniYadhul",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/4
5,convenientsupplies1,Convenientsupplies1,2026-05-25T08:02:20.432Z,"Hello Pinterest Developer Support,

I’m requesting review and approval.

App Name:

Convenient Supplies

Current Use Case:

Pinterest content publishing

Pin scheduling

Product/catalog integrations

Analytics reporting for internal business operations

The application is intended for a single internal business account and is not being used for spam, mass posting, scraping, or third-party redistribution.

Requested scopes are limited to:

boards:read

boards:write

pins:read

pins:write

user_accounts:read

The app is currently stuck in “Trial Access Pending” status and we would appreciate review/approval so we can complete integration testing and production verification.

Thank you for your time and support.",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/5
6,soumae,Soumae,2026-05-25T08:02:23.737Z,"Hello, I’m requesting trial access approval for my app Sou Mãe Pipeline. It’s an internal tool for our own blog soumae.org (a Brazilian

motherhood blog). The app will publish Pins from our published articles and read our own account analytics (impressions, saves, clicks). It operates only on

our own Pinterest Business account (@soumae_). Could you please review and approve trial access? Thank you!",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/6
7,2bwsr7b8vkkkd0d8661fqmx8oronwk,2bwsr7b8vkkkd0d8661fqmx8oronwk,2026-05-25T16:41:34.843Z,"Hello Pinterest Team,

I’m requesting trial access approval for my application:

App name: limmerNET Pin Automation

Pinterest account: @limmernet (limmerNET e. K., Business Account)

Use case: Automated posting of curated affiliate content pins

to my own 6 Pinterest boards. All pins comply with Pinterest

community guidelines and include proper affiliate disclosure

(#Werbung as required by German law). Pins drive traffic to

Amazon product pages via Amazon Partner program links.

Scopes needed: boards:read, boards:write, pins:read, pins:write

Volume: max 5-10 pins per day to my own boards

Currently getting: “Your application consumer type is not supported”

on all API v5 endpoints.

Thank you for activating trial access on this app.

Best regards,

limmerNET e. K.",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/7
8,creatorintelhq,Creatorintelhq,2026-05-26T09:23:06.129Z,"Hi Pinterest Developer Team,

I’m writing to request a review of my app’s Trial access, which has been in “Trial access pending” status with no updates.

App Details:

• App Name: CreatorIntelHQ Pin Publisher

Could you please review and approve my Trial access request at your earliest convenience? I’m happy to provide any additional information needed.

Thank you!",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/8
9,gtvapp,Gtvapp,2026-05-26T17:29:49.591Z,"I’m writing to request a review of my app’s Trial access, which has been in “Trial access pending” status with no updates. We are under urgent timelines to launch our Pinterest integration.

App Details:

• App Name: GTV

Could you please review and approve our Trial access request at your earliest convenience? We are happy to provide any additional information needed.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/9
10,avekpl,Avekpl,2026-05-27T07:54:46.878Z,"Hi Pinterest Developer team,

I’m requesting approval for Trial Access for my app AVEK Dashboard.

Use case: I run a small e-commerce brand called AVEK (men’s accessories — jewelry, sunglasses, bags, wallets). I’m building an internal analytics dashboard to track our Pinterest performance alongside other social media channels (Instagram, TikTok, Threads, etc.).

What the app does:

Reads our own Pinterest account analytics (impressions, engagement, followers)

Reads our boards and pins for performance tracking

This is a first-party app — it only accesses our own business account

No user data is collected, no third parties involved

The trial request has been pending for over a week now. I’d really appreciate a review of my application.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/10
11,briansuarezm,Briansuarezm,2026-05-27T14:51:40.845Z,"Hi Pinterest Developer Support,

App Name: Nuvola Pets AI Publisher

Current issue:

App secret shows “Unavailable while trial access pending”

All API calls return 401: “consumer type not supported”

Use case:

I want to automate organic Pin publishing for my own

ecommerce store (nuvolapets.com — pet accessories).

I will only post to my own boards on my own Business account.

Scopes needed:

boards:read, boards:write, pins:read, pins:write

Please approve trial access.

Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/11
